hotspot_id,lat,long,fid,ID_HDC_G0,NAME_MAIN,NAME_LIST,POP_2015,BU_2015
L1352166,37.7662442,-122.4863252,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L597127,37.7481184,-122.2425985,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L2402250,37.7318068,-122.2070861,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1280761,37.8071707,-122.4724585,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L178143,37.890057,-122.32462,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1124286,37.7684076,-122.2774389,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1403116,37.813,-122.464,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1026132,37.6050226,-122.3765385,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L300659,37.4321365,-122.1689129,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1874342,37.3862528,-121.9687202,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L844248,38.0109741,-122.3161554,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1281411,37.7498151,-122.4835682,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L484238,37.892331,-122.3117995,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L8418754,37.425329,-122.153921,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
